2017-12-01,1066727
2018-01-01,897871
2018-02-01,958987
2018-03-01,1018713
2018-04-01,1072316
2018-05-01,1060969
2018-06-01,1150735
2018-07-01,1105857
2018-08-01,1075677
2018-09-01,919501
2018-10-01,1164001
2018-11-01,986931
2018-12-01,1360442
2019-01-01,882489
2019-02-01,1075506
2019-03-01,1116225
2019-04-01,1417947
2019-05-01,950184
2019-06-01,1065374
2019-07-01,1032027
2019-08-01,1157662
2019-09-01,937744
2019-10-01,1133053
2019-11-01,1069926
2019-12-01,1084682
2020-01-01,1087266
2020-02-01,1014503
2020-03-01,1078909
2020-04-01,1290820
2020-05-01,929091
2020-06-01,910197
2020-07-01,1177307
2020-08-01,1056180
2020-09-01,1222545
2020-10-01,1169082
2020-11-01,1065290
2020-12-01,1377753
2021-01-01,972462
2021-02-01,1218827
2021-03-01,1164554
2021-04-01,1400562
2021-05-01,1171912
2021-06-01,1426390
2021-07-01,1262783
2021-08-01,1576297
2021-09-01,1228220
2021-10-01,1193959
2021-11-01,1281960
2021-12-01,1837261
2022-01-01,1073348
2022-02-01,1235931
2022-03-01,1311796
2022-04-01,1295258
2022-05-01,1153762
2022-06-01,1385341
2022-07-01,1297803
2022-08-01,1587543
2022-09-01,1877790
2022-10-01,1094126
2022-11-01,1166717
2022-12-01,1353118
2023-01-01,1012105
2023-02-01,982266
2023-03-01,0
2023-04-01,0
